problem,family,run,seed,candidateIndex,generation,FE,source,selectionMode,sector,eligible,selected,prob,absProbHalf,queryScore,disagreement,reliability,paretoValue,boundaryTrust,trustWeight,utility,shortlisted
MW1_BC,MW_BC,1,1703,1,63,12802,1,4,34,1,1,0.5,0,1,0,1,0,1,0,1,1
MW1_BC,MW_BC,1,1703,2,65,13202,1,4,31,0,0,0.5,0,1,0,1,0,1,0,1,0
MW1_BC,MW_BC,1,1703,3,66,13404,1,4,30,1,1,0.5,0,1,0,1,0,1,0,1,1
MW1_BC,MW_BC,1,1703,4,67,13604,1,4,29,0,0,0.5,0,1,0,1,0,1,0,1,0
MW1_BC,MW_BC,1,1703,5,70,14204,1,4,28,0,0,0.5,0,1,0,1,0,1,0,1,0
MW1_BC,MW_BC,1,1703,6,71,14406,1,4,77,1,1,0.5,0,1,0,1,0,1,0,1,1
MW1_BC,MW_BC,1,1703,7,72,14606,1,4,26,0,0,0.5,0,1,0,1,0,1,0,1,0
MW1_BC,MW_BC,1,1703,8,73,14806,1,4,26,0,0,0.5,0,1,0,1,0,1,0,1,0
MW1_BC,MW_BC,1,1703,9,74,15010,1,4,26,0,0,0.5,0,1,0,1,0,1,0,1,0
MW1_BC,MW_BC,1,1703,10,74,15010,1,4,89,1,1,0.5,0,1,0,1,0,1,0,1,1
MW1_BC,MW_BC,1,1703,11,74,15010,1,4,75,1,1,0.5,0,1,0,1,0,1,0,1,1
MW1_BC,MW_BC,1,1703,12,75,15214,1,4,26,0,0,0.5,0,1,0,1,0,1,0,1,0
MW1_BC,MW_BC,1,1703,13,75,15214,1,4,10,1,1,0.5,0,1,0,1,0,1,0,1,1
MW1_BC,MW_BC,1,1703,14,75,15214,1,4,24,1,1,0.5,0,1,0,1,0,1,0,1,1
MW1_BC,MW_BC,1,1703,15,75,15214,1,4,91,0,0,0.5,0,1,0,1,0,1,0,1,0
MW1_BC,MW_BC,1,1703,16,76,15418,1,4,25,0,0,0.50618700678487,0.00618700678487016,0.98762598643026,0.00213101186439726,1,0,0.98762598643026,0,0.98762598643026,0
MW1_BC,MW_BC,1,1703,17,76,15418,1,4,24,0,0,0.460363669923355,0.0396363300766452,0.92072733984671,0.00123922544668806,1,0,0.92072733984671,0,0.92072733984671,0
MW1_BC,MW_BC,1,1703,18,76,15418,1,4,26,0,0,0.482855673147893,0.0171443268521074,0.965711346295785,0.000140786967024739,1,0,0.965711346295785,0,0.965711346295785,0
MW1_BC,MW_BC,1,1703,19,76,15418,1,4,1,1,1,0.508103146570565,0.00810314657056488,0.98379370685887,0.00389120603743549,1,0,0.98379370685887,0,0.98379370685887,1
MW1_BC,MW_BC,1,1703,20,76,15418,1,4,11,1,1,0.486536427203631,0.0134635727963691,0.973072854407262,0.000444058874477085,1,0,0.973072854407262,0,0.973072854407262,1
MW1_BC,MW_BC,1,1703,21,76,15418,1,4,91,0,0,0.50452708000239,0.00452708000238988,0.99094583999522,0.00290799586508442,1,0,0.99094583999522,0,0.99094583999522,0
MW1_BC,MW_BC,1,1703,22,77,15624,1,4,86,1,1,0.485352953441849,0.0146470465581505,0.970705906883699,7.96209142460392e-05,1,0,0.970705906883699,0,0.970705906883699,1
MW1_BC,MW_BC,1,1703,23,77,15624,1,4,1,0,0,0.520061795596642,0.0200617955966425,0.959876408806715,0.00243182829253377,1,0,0.959876408806715,0,0.959876408806715,0
MW1_BC,MW_BC,1,1703,24,77,15624,1,4,25,1,1,0.490308466262553,0.00969153373744708,0.980616932525106,0.00723848796197777,1,0,0.980616932525106,0,0.980616932525106,1
MW1_BC,MW_BC,1,1703,25,77,15624,1,4,23,0,0,0.471100001942017,0.0288999980579827,0.942200003884035,0.00194809584955753,1,0,0.942200003884035,0,0.942200003884035,0
MW1_BC,MW_BC,1,1703,26,77,15624,1,4,11,0,0,0.497970228289805,0.00202977171019514,0.99594045657961,0.00148611872076476,1,0,0.99594045657961,0,0.99594045657961,0
MW1_BC,MW_BC,1,1703,27,77,15624,1,4,73,1,1,0.506724982043115,0.00672498204311467,0.986550035913771,0.00794746994976417,1,0,0.986550035913771,0,0.986550035913771,1
MW1_BC,MW_BC,1,1703,28,77,15624,1,4,87,0,0,0.506388426778186,0.00638842677818596,0.987223146443628,0.0013362497207952,1,0,0.987223146443628,0,0.987223146443628,0
MW1_BC,MW_BC,1,1703,29,78,15824,1,4,86,0,0,0.521605316732267,0.0216053167322671,0.956789366535466,0.00102235372248643,1,0,0.956789366535466,0,0.956789366535466,0
MW1_BC,MW_BC,1,1703,30,78,15824,1,4,1,0,0,0.532002302701263,0.0320023027012629,0.935995394597474,0.00232293743602191,1,0,0.935995394597474,0,0.935995394597474,0
MW1_BC,MW_BC,1,1703,31,78,15824,1,4,25,0,0,0.489228132786847,0.0107718672131532,0.978456265573694,0.00739168602287133,1,0,0.978456265573694,0,0.978456265573694,0
MW1_BC,MW_BC,1,1703,32,78,15824,1,4,23,0,0,0.477513648880597,0.0224863511194025,0.955027297761195,0.00219068484960615,1,0,0.955027297761195,0,0.955027297761195,0
MW1_BC,MW_BC,1,1703,33,78,15824,1,4,11,0,0,0.500401996909513,0.000401996909513036,0.999196006180974,0.00165657411720977,1,0,0.999196006180974,0,0.999196006180974,0
MW1_BC,MW_BC,1,1703,34,78,15824,1,4,26,0,0,0.498923954919607,0.00107604508039305,0.997847909839214,0.0011122872054683,1,0,0.997847909839214,0,0.997847909839214,0
MW1_BC,MW_BC,1,1703,35,78,15824,1,4,87,0,0,0.502626744474328,0.00262674447432776,0.994746511051344,0.00140837720851034,1,0,0.994746511051344,0,0.994746511051344,0
MW1_BC,MW_BC,1,1703,36,79,16026,1,4,1,0,0,0.500105922518142,0.000105922518142454,0.999788154963715,0.0056588926234656,1,0,0.999788154963715,0,0.999788154963715,0
MW1_BC,MW_BC,1,1703,37,79,16026,1,4,86,0,0,0.500465088983135,0.000465088983135131,0.99906982203373,0.0090882125288075,1,0,0.99906982203373,0,0.99906982203373,0
MW1_BC,MW_BC,1,1703,38,79,16026,1,4,25,0,0,0.496809858905528,0.00319014109447169,0.993619717811057,0.00760928494503255,1,0,0.993619717811057,0,0.993619717811057,0
MW1_BC,MW_BC,1,1703,39,79,16026,1,4,24,0,0,0.513959102771572,0.0139591027715723,0.972081794456855,0.00138431019219021,1,0,0.972081794456855,0,0.972081794456855,0
MW1_BC,MW_BC,1,1703,40,79,16026,1,4,23,0,0,0.505627548185129,0.00562754818512912,0.988744903629742,8.66357630364606e-05,1,0,0.988744903629742,0,0.988744903629742,0
MW1_BC,MW_BC,1,1703,41,79,16026,1,4,26,0,0,0.501586881625249,0.00158688162524889,0.996826236749502,0.00633086993594012,1,0,0.996826236749502,0,0.996826236749502,0
MW1_BC,MW_BC,1,1703,42,79,16026,1,4,11,0,0,0.489868196501242,0.0101318034987579,0.979736393002484,0.00285953236551731,1,0,0.979736393002484,0,0.979736393002484,0
MW1_BC,MW_BC,1,1703,43,79,16026,1,4,73,1,1,0.505951968586,0.00595196858600044,0.988096062827999,0.00549026208668794,1,0,0.988096062827999,0,0.988096062827999,1
MW1_BC,MW_BC,1,1703,44,79,16026,1,4,87,0,0,0.513869473428498,0.0138694734284979,0.972261053143004,0.000809778903748888,1,0,0.972261053143004,0,0.972261053143004,0
MW1_BC,MW_BC,1,1703,45,79,16026,1,4,72,0,0,0.491270241836006,0.00872975816399424,0.982540483672012,0.00792828651683445,1,0,0.982540483672012,0,0.982540483672012,0
MW1_BC,MW_BC,1,1703,46,80,16232,1,4,1,0,0,0.499684802163901,0.000315197836099401,0.999369604327801,0.00424298020978568,1,0,0.999369604327801,0,0.999369604327801,0
MW1_BC,MW_BC,1,1703,47,80,16232,1,4,86,0,0,0.496521101513768,0.0034788984862324,0.993042203027535,0.00167338275621019,1,0,0.993042203027535,0,0.993042203027535,0
MW1_BC,MW_BC,1,1703,48,80,16232,1,4,73,0,0,0.501923678200964,0.00192367820096362,0.996152643598073,0.00414601621581871,1,0,0.996152643598073,0,0.996152643598073,0
MW1_BC,MW_BC,1,1703,49,80,16232,1,4,24,1,1,0.523790283472067,0.0237902834720671,0.952419433055866,4.33682805060011e-05,1,0,0.952419433055866,0,0.952419433055866,1
MW1_BC,MW_BC,1,1703,50,80,16232,1,4,23,0,0,0.502186291004898,0.00218629100489764,0.995627417990205,0.000101110246295326,1,0,0.995627417990205,0,0.995627417990205,0
MW1_BC,MW_BC,1,1703,51,80,16232,1,4,26,0,0,0.498723612459323,0.00127638754067733,0.997447224918645,0.00485840664522419,1,0,0.997447224918645,0,0.997447224918645,0
MW1_BC,MW_BC,1,1703,52,80,16232,1,4,9,1,1,0.470997408172626,0.0290025918273742,0.941994816345252,0.00251600090383188,1,0,0.941994816345252,0,0.941994816345252,1
MW1_BC,MW_BC,1,1703,53,80,16232,1,4,87,1,1,0.494667359376607,0.0053326406233925,0.989334718753215,0.00236066971670956,1,0,0.989334718753215,0,0.989334718753215,1
MW1_BC,MW_BC,1,1703,54,81,16434,1,4,1,0,0,0.529153705867618,0.0291537058676182,0.941692588264764,0.00468617348688079,1,0,0.941692588264764,0,0.941692588264764,0
MW1_BC,MW_BC,1,1703,55,81,16434,1,4,85,0,0,0.4997421309956,0.000257869004400113,0.9994842619912,0.00222224423676493,1,0,0.9994842619912,0,0.9994842619912,0
