problem,run,seed,N,D,maxFE,condition_mode,target_text,plot_enabled,runtime,finalFE,stage_count,history_count,figure_count,run_folder,stage_metrics_file,history_metrics_file,figure_manifest_file,status,error_message,variant
DASCMOP1_BC,1,1,100,30,100000,ref_y_tau,10000;30000;50000;70000;100000,1,503.219951125,100198,5,455,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP1_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP1_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP1_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP1_BC_run1/figure_manifest.csv,ok,,B_ref_y_tau
DASCMOP2_BC,1,1,100,30,100000,ref_y_tau,10000;30000;50000;70000;100000,1,490.023437833333,100188,5,455,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP2_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP2_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP2_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP2_BC_run1/figure_manifest.csv,ok,,B_ref_y_tau
DASCMOP4_BC,1,1,100,30,100000,ref_y_tau,10000;30000;50000;70000;100000,1,459.490515166667,100082,5,457,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP4_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP4_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP4_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP4_BC_run1/figure_manifest.csv,ok,,B_ref_y_tau
DASCMOP5_BC,1,1,100,30,100000,ref_y_tau,10000;30000;50000;70000;100000,1,253.167080625,100099,5,482,7,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP5_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP5_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP5_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/DASCMOP5_BC_run1/figure_manifest.csv,ok,,B_ref_y_tau
LIRCMOP5_BC,1,1,100,30,100000,ref_y_tau,10000;30000;50000;70000;100000,1,477.439019083333,100080,5,457,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP5_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP5_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP5_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP5_BC_run1/figure_manifest.csv,ok,,B_ref_y_tau
LIRCMOP6_BC,1,1,100,30,100000,ref_y_tau,10000;30000;50000;70000;100000,1,460.260612875,100154,5,458,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP6_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP6_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP6_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP6_BC_run1/figure_manifest.csv,ok,,B_ref_y_tau
LIRCMOP7_BC,1,1,100,30,100000,ref_y_tau,10000;30000;50000;70000;100000,1,474.624909666667,100087,5,456,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP7_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP7_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP7_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP7_BC_run1/figure_manifest.csv,ok,,B_ref_y_tau
LIRCMOP8_BC,1,1,100,30,100000,ref_y_tau,10000;30000;50000;70000;100000,1,464.227416083333,100146,5,457,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP8_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP8_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP8_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP8_BC_run1/figure_manifest.csv,ok,,B_ref_y_tau
LIRCMOP9_BC,1,1,100,30,100000,ref_y_tau,10000;30000;50000;70000;100000,1,250.525449416667,100193,5,456,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP9_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP9_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP9_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP9_BC_run1/figure_manifest.csv,ok,,B_ref_y_tau
LIRCMOP10_BC,1,1,100,30,100000,ref_y_tau,10000;30000;50000;70000;100000,1,260.385179041667,100150,5,456,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP10_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP10_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP10_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/B_ref_y_tau/LIRCMOP10_BC_run1/figure_manifest.csv,ok,,B_ref_y_tau
